500x500,1000x1000,5000x5000,10000x10000,25000x25000
0.078125,0.281250,7.203125,28.312500,176.437500
0.078125,0.281250,7.046875,28.203125,176.000000
0.062500,0.281250,7.125000,28.078125,175.937500
0.062500,0.296875,7.062500,28.187500,176.671875
